run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31821179	76757634	259100	24-036757-003	2024	USA	CATTLE	SAMN45953400	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821180	100472311	339881	24-036645-018	2024	USA	DUCK	SAMN45953399	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821181	116607529	395766	24-036645-017	2024	USA	DUCK	SAMN45953398	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821182	125325318	424205	24-036645-016	2024	USA	DUCK	SAMN45953397	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821183	106262039	358686	24-036645-015	2024	USA	DUCK	SAMN45953396	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821184	127573471	430632	24-036645-013	2024	USA	DUCK	SAMN45953395	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821185	262781016	890389	24-036357-002	2024	USA	CATTLE	SAMN45953197	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821186	107180139	363503	24-036645-007	2024	USA	DUCK	SAMN45953394	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821187	127651186	432957	24-036645-005	2024	USA	DUCK	SAMN45953393	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821188	140835995	475301	24-036644-012	2024	USA	CHICKEN	SAMN45953392	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821189	185566455	629307	24-036644-003	2024	USA	CHICKEN	SAMN45953391	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821190	108312844	366698	24-036644-001	2024	USA	CHICKEN	SAMN45953390	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31821191	145350802	491409	24-036640-003	2024	USA	CATTLE	SAMN45953389	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821192	172685306	583519	24-036640-002	2024	USA	CATTLE	SAMN45953388	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
